OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1015246,99de4d67,01/27/2015 01:00:00 AM,Tuesday,Jan,27,2015,1,1,29,2015,FELONY ASSAULT,FELONY,M,105,QUEENS,N.Y. POLICE DEPT,1057636,203954,"(40.72618713, -73.735233904)"
1015292,f275063,11/28/2015 06:10:00 PM,Saturday,Nov,28,2015,18,11,28,2015,ROBBERY,FELONY,N,114,QUEENS,N.Y. POLICE DEPT,1001220,216411,"(40.7606666080001, -73.938744199)"
1015293,670349f3,11/28/2015 06:13:00 PM,Saturday,Nov,28,2015,18,11,28,2015,ROBBERY,FELONY,G,106,QUEENS,N.Y. POLICE DEPT,1034671,190675,"(40.689900197, -73.8181879059999)"
1015295,6e19e56,11/28/2015 06:20:00 PM,Saturday,Nov,28,2015,18,11,28,2015,GRAND LARCENY,FELONY,A,113,QUEENS,PORT AUTHORITY,1046315,187088,"(40.679980738, -73.7762339069999)"
1015302,5ad4e476,11/28/2015 07:00:00 PM,Saturday,Nov,28,2015,19,12,8,2015,GRAND LARCENY,FELONY,E,105,QUEENS,N.Y. POLICE DEPT,1052520,182954,"(40.6685882, -73.7539045459999)"
1015316,3039b367,10/08/2015 06:30:00 PM,Thursday,Oct,8,2015,18,10,9,2015,BURGLARY,FELONY,G,103,QUEENS,N.Y. POLICE DEPT,1039415,192503,"(40.6948893260001, -73.801066561)"
1015319,ef76d2f7,10/08/2015 06:36:00 PM,Thursday,Oct,8,2015,18,10,21,2015,GRAND LARCENY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1005626,217049,"(40.7624082, -73.9228376729999)"
1015325,b9fe1d2b,10/08/2015 07:15:00 PM,Thursday,Oct,8,2015,19,10,8,2015,ROBBERY,FELONY,F,106,QUEENS,N.Y. POLICE DEPT,1033013,189339,"(40.6862424810001, -73.824176156)"
1015327,eebdb130,10/08/2015 07:30:00 PM,Thursday,Oct,8,2015,19,10,9,2015,GRAND LARCENY,FELONY,A,113,QUEENS,N.Y. POLICE DEPT,1040531,185934,"(40.676851942, -73.797096949)"
1015328,4fc63183,10/08/2015 07:30:00 PM,Thursday,Oct,8,2015,19,12,6,2015,GRAND LARCENY,FELONY,P,114,QUEENS,N.Y. POLICE DEPT,1003924,221908,"(40.7757488410001, -73.928967381)"
1015329,c02e347e,08/03/2015 10:00:00 PM,Monday,Aug,3,2015,22,8,4,2015,BURGLARY,FELONY,,100,QUEENS,N.Y. POLICE DEPT,1025090,147946,"(40.572667686, -73.852994614)"
1015331,53c71d15,08/03/2015 10:19:00 PM,Monday,Aug,3,2015,22,8,3,2015,FELONY ASSAULT,FELONY,B,101,QUEENS,N.Y. POLICE DEPT,1052110,160512,"(40.606993082, -73.755608187)"
1015336,368fca13,08/03/2015 10:30:00 PM,Monday,Aug,3,2015,22,8,4,2015,GRAND LARCENY,FELONY,K,105,QUEENS,N.Y. POLICE DEPT,1056492,205082,"(40.729292619, -73.73934918)"
1015347,57110900,08/03/2015 10:50:00 PM,Monday,Aug,3,2015,22,8,5,2015,FELONY ASSAULT,FELONY,B,101,QUEENS,N.Y. POLICE DEPT,1052632,161443,"(40.6095444640001, -73.753718823)"
1015355,391a9cbe,03/05/2015 08:20:00 PM,Thursday,Mar,5,2015,20,3,5,2015,GRAND LARCENY,FELONY,G,102,QUEENS,N.Y. POLICE DEPT,1030300,195204,"(40.702355052, -73.833918331)"
1015368,e29768e7,03/05/2015 09:00:00 PM,Thursday,Mar,5,2015,21,3,5,2015,ROBBERY,FELONY,E,108,QUEENS,N.Y. POLICE DEPT,1004305,209324,"(40.741208128, -73.927629297)"
1015451,5c4e1810,01/27/2015 01:30:00 AM,Tuesday,Jan,27,2015,1,1,27,2015,BURGLARY,FELONY,F,109,QUEENS,N.Y. POLICE DEPT,1031438,215707,"(40.7586246750001, -73.829670268)"
1015465,183e97e5,01/27/2015 04:15:00 AM,Tuesday,Jan,27,2015,4,1,27,2015,ROBBERY,FELONY,B,101,QUEENS,N.Y. POLICE DEPT,1053054,159763,"(40.6049299590001, -73.752216083)"
1015466,700b14e1,01/27/2015 06:00:00 AM,Tuesday,Jan,27,2015,6,1,28,2015,FELONY ASSAULT,FELONY,I,108,QUEENS,N.Y. POLICE DEPT,1010377,204707,"(40.7285197530001, -73.905735313)"
1015467,3c15a950,01/27/2015 06:00:00 AM,Tuesday,Jan,27,2015,6,2,28,2015,GRAND LARCENY,FELONY,P,114,QUEENS,N.Y. POLICE DEPT,1004680,220997,"(40.77324667, -73.926240572)"
1015468,7b89d77a,01/27/2015 07:00:00 AM,Tuesday,Jan,27,2015,7,1,28,2015,FELONY ASSAULT,FELONY,A,104,QUEENS,N.Y. POLICE DEPT,1016366,195327,"(40.702754199, -73.884171791)"
1015469,be7d9228,01/27/2015 08:00:00 AM,Tuesday,Jan,27,2015,8,1,28,2015,BURGLARY,FELONY,H,111,QUEENS,N.Y. POLICE DEPT,1042378,217365,"(40.7631102930001, -73.790166727)"
1015512,1af7eecd,11/28/2015 07:45:00 PM,Saturday,Nov,28,2015,19,11,28,2015,GRAND LARCENY,FELONY,C,100,QUEENS,N.Y. POLICE DEPT,1027620,149743,"(40.577588076, -73.8438761689999)"
1015513,6876956a,11/28/2015 07:45:00 PM,Saturday,Nov,28,2015,19,11,28,2015,FELONY ASSAULT,FELONY,A,101,QUEENS,N.Y. POLICE DEPT,1052908,157429,"(40.59852476, -73.752765596)"
1015515,77161b3a,11/28/2015 08:00:00 PM,Saturday,Nov,28,2015,20,11,28,2015,FELONY ASSAULT,FELONY,G,106,QUEENS,N.Y. POLICE DEPT,1033865,189322,"(40.6861910850001, -73.821104224)"
1015521,61fd41e9,11/28/2015 08:30:00 PM,Saturday,Nov,28,2015,20,11,28,2015,ROBBERY,FELONY,A,102,QUEENS,N.Y. POLICE DEPT,1030953,194101,"(40.699324157, -73.831570888)"
1015523,641e7e05,11/28/2015 09:00:00 PM,Saturday,Nov,28,2015,21,11,28,2015,FELONY ASSAULT,FELONY,H,110,QUEENS,N.Y. POLICE DEPT,1023998,207997,"(40.737499266, -73.856571425)"
1015527,16339014,11/28/2015 09:15:00 PM,Saturday,Nov,28,2015,21,12,1,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,106,QUEENS,N.Y. POLICE DEPT,1029207,182894,"(40.6685725880001, -73.8379424519999)"
1015535,9dad371c,10/08/2015 07:45:00 PM,Thursday,Oct,8,2015,19,10,8,2015,ROBBERY,FELONY,E,105,QUEENS,N.Y. POLICE DEPT,1052451,184306,"(40.6722996560001, -73.754139594)"
1015539,b20f5f20,10/08/2015 08:00:00 PM,Thursday,Oct,8,2015,20,10,8,2015,ROBBERY,FELONY,G,103,QUEENS,N.Y. POLICE DEPT,1040083,190955,"(40.6906362450001, -73.798670471)"
1015540,70cb4ad,10/08/2015 08:00:00 PM,Thursday,Oct,8,2015,20,10,9,2015,BURGLARY,FELONY,J,104,QUEENS,N.Y. POLICE DEPT,1011455,206347,"(40.7330179000001, -73.901839265)"
1015553,3a77e246,08/03/2015 11:00:00 PM,Monday,Aug,3,2015,23,8,4,2015,BURGLARY,FELONY,E,102,QUEENS,N.Y. POLICE DEPT,1022083,191389,"(40.691922721, -73.863574993)"
1015561,19daeea1,08/03/2015 11:30:00 PM,Monday,Aug,3,2015,23,8,4,2015,ROBBERY,FELONY,C,113,QUEENS,N.Y. POLICE DEPT,1045873,186857,"(40.679349786, -73.777829587)"
1015562,a07a987,08/03/2015 11:30:00 PM,Monday,Aug,3,2015,23,8,4,2015,ROBBERY,FELONY,E,102,QUEENS,N.Y. POLICE DEPT,1023303,187585,"(40.6814763240001, -73.859197708)"
1015564,1b7c622e,08/03/2015 11:30:00 PM,Monday,Aug,3,2015,23,8,4,2015,BURGLARY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1006938,218925,"(40.7675540640001, -73.918095244)"
1015569,92f3156b,08/03/2015 11:55:00 PM,Monday,Aug,3,2015,23,8,4,2015,FELONY ASSAULT,FELONY,B,101,QUEENS,N.Y. HOUSING POLICE,1053494,161530,"(40.609776567, -73.750613393)"
1015573,34eb80d9,08/04/2015 12:01:00 AM,Tuesday,Aug,4,2015,0,8,4,2015,BURGLARY,FELONY,I,104,QUEENS,N.Y. POLICE DEPT,1006395,197688,"(40.709265155, -73.9201254389999)"
1015577,e6f08d08,03/05/2015 09:40:00 PM,Thursday,Mar,5,2015,21,3,6,2015,FELONY ASSAULT,FELONY,F,107,QUEENS,N.Y. POLICE DEPT,1034170,206401,"(40.733067084, -73.81987786)"
1015579,661c97ae,03/05/2015 10:00:00 PM,Thursday,Mar,5,2015,22,3,6,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,103,QUEENS,N.Y. POLICE DEPT,1038016,193576,"(40.697843065, -73.8061030229999)"
1015581,c6959400,03/05/2015 10:00:00 PM,Thursday,Mar,5,2015,22,3,5,2015,ROBBERY,FELONY,F,107,QUEENS,N.Y. POLICE DEPT,1036790,205267,"(40.7299393640001, -73.810433142)"
1015584,637ba3e3,03/05/2015 10:20:00 PM,Thursday,Mar,5,2015,22,3,5,2015,FELONY ASSAULT,FELONY,H,108,QUEENS,N.Y. POLICE DEPT,1006540,209329,"(40.7412165010001, -73.919563876)"
1015588,7fe94c10,03/05/2015 10:45:00 PM,Thursday,Mar,5,2015,22,3,5,2015,GRAND LARCENY,FELONY,A,113,QUEENS,PORT AUTHORITY,1046367,186986,"(40.679700408, -73.776047368)"
1015676,8e319454,01/27/2015 08:30:00 AM,Tuesday,Jan,27,2015,8,1,27,2015,FELONY ASSAULT,FELONY,J,113,QUEENS,N.Y. POLICE DEPT,1052461,189545,"(40.6866793930001, -73.7540505169999)"
1015678,ffdf7039,01/27/2015 09:00:00 AM,Tuesday,Jan,27,2015,9,1,27,2015,GRAND LARCENY,FELONY,C,108,QUEENS,N.Y. POLICE DEPT,997880,209910,"(40.7428287870001, -73.9508138959999)"
1015679,f98a4be7,01/27/2015 09:00:00 AM,Tuesday,Jan,27,2015,9,10,21,2015,GRAND LARCENY,FELONY,E,111,QUEENS,N.Y. POLICE DEPT,1044774,215370,"(40.757618468, -73.781535466)"
1015683,897d2387,01/27/2015 10:00:00 AM,Tuesday,Jan,27,2015,10,1,27,2015,GRAND LARCENY,FELONY,H,103,QUEENS,N.Y. POLICE DEPT,1043822,193256,"(40.696927563, -73.78516753)"
1015689,253931e1,01/27/2015 10:40:00 AM,Tuesday,Jan,27,2015,10,1,29,2015,FELONY ASSAULT,FELONY,B,107,QUEENS,N.Y. POLICE DEPT,1037826,197907,"(40.7097317670001, -73.806753769)"
1015691,c584c2e0,01/27/2015 11:00:00 AM,Tuesday,Jan,27,2015,11,4,18,2015,GRAND LARCENY,FELONY,E,115,QUEENS,N.Y. POLICE DEPT,1015955,214955,"(40.756629704, -73.8855616239999)"
1015694,c0f355a3,01/27/2015 11:20:00 AM,Tuesday,Jan,27,2015,11,1,27,2015,FELONY ASSAULT,FELONY,H,115,QUEENS,N.Y. POLICE DEPT,1018905,213571,"(40.752819909, -73.874920688)"
1015741,6e9b8309,11/28/2015 10:00:00 PM,Saturday,Nov,28,2015,22,11,29,2015,GRAND LARCENY,FELONY,C,100,QUEENS,N.Y. POLICE DEPT,1025646,149164,"(40.5760082740001, -73.8509857939999)"
1015745,1b5292c7,11/28/2015 10:05:00 PM,Saturday,Nov,28,2015,22,11,28,2015,BURGLARY,FELONY,A,115,QUEENS,N.Y. POLICE DEPT,1023586,215761,"(40.7588113100001, -73.858012706)"
1015747,75e70303,11/28/2015 10:15:00 PM,Saturday,Nov,28,2015,22,11,28,2015,ROBBERY,FELONY,E,114,QUEENS,N.Y. POLICE DEPT,1006579,215870,"(40.7591697930001, -73.91940142)"
1015761,d427a02c,10/08/2015 09:00:00 PM,Thursday,Oct,8,2015,21,10,10,2015,GRAND LARCENY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1006402,217809,"(40.764492294, -73.9200339399999)"
1015766,268df607,10/08/2015 09:30:00 PM,Thursday,Oct,8,2015,21,10,9,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,107,QUEENS,N.Y. POLICE DEPT,1042596,199681,"(40.7145707940001, -73.789533154)"
1015767,ddf32722,10/08/2015 09:30:00 PM,Thursday,Oct,8,2015,21,10,10,2015,GRAND LARCENY,FELONY,M,114,QUEENS,N.Y. POLICE DEPT,1000417,214510,"(40.7554503550001, -73.941647388)"
1015774,df47d53f,10/08/2015 10:00:00 PM,Thursday,Oct,8,2015,22,10,8,2015,ROBBERY,FELONY,B,101,QUEENS,N.Y. POLICE DEPT,1052190,160829,"(40.6078625660001, -73.7553168859999)"
1015777,792321d2,08/04/2015 12:01:00 AM,Tuesday,Aug,4,2015,0,8,4,2015,BURGLARY,FELONY,,104,QUEENS,N.Y. POLICE DEPT,1012126,194537,"(40.700600207, -73.899467043)"
1015785,ea3c4a04,08/04/2015 01:10:00 AM,Tuesday,Aug,4,2015,1,8,4,2015,FELONY ASSAULT,FELONY,G,110,QUEENS,N.Y. POLICE DEPT,1023260,210754,"(40.7450698220001, -73.859218492)"
1015786,25a0174b,08/04/2015 01:40:00 AM,Tuesday,Aug,4,2015,1,8,4,2015,ROBBERY,FELONY,K,114,QUEENS,N.Y. POLICE DEPT,1005678,218900,"(40.76748859, -73.92264406)"
1015787,4ff3c5a6,08/04/2015 02:00:00 AM,Tuesday,Aug,4,2015,2,8,4,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,105,QUEENS,N.Y. POLICE DEPT,1058757,189602,"(40.6867850850001, -73.7313483039999)"
1015788,7221827d,08/04/2015 02:00:00 AM,Tuesday,Aug,4,2015,2,8,4,2015,ROBBERY,FELONY,C,115,QUEENS,N.Y. POLICE DEPT,1018554,217021,"(40.7622906390001, -73.876169953)"
1015792,9356df4e,08/04/2015 02:48:00 AM,Tuesday,Aug,4,2015,2,8,4,2015,GRAND LARCENY,FELONY,G,114,QUEENS,N.Y. POLICE DEPT,1009215,219724,"(40.769740975, -73.909872058)"
1015804,829300ab,03/07/2015 12:30:00 AM,Saturday,Mar,7,2015,0,3,7,2015,GRAND LARCENY,FELONY,H,115,QUEENS,N.Y. POLICE DEPT,1019774,214192,"(40.7545209470001, -73.871780917)"
1015806,b8d4faeb,03/07/2015 12:50:00 AM,Saturday,Mar,7,2015,0,3,7,2015,ROBBERY,FELONY,E,104,QUEENS,N.Y. POLICE DEPT,1011407,195959,"(40.7045054970001, -73.902054369)"
1015898,1b866363,01/27/2015 12:00:00 PM,Tuesday,Jan,27,2015,12,1,27,2015,FELONY ASSAULT,FELONY,P,114,QUEENS,N.Y. HOUSING POLICE,1001899,221194,"(40.773793373, -73.936280628)"
1015900,17bc3e25,01/27/2015 12:30:00 PM,Tuesday,Jan,27,2015,12,1,27,2015,ROBBERY,FELONY,G,104,QUEENS,N.Y. POLICE DEPT,1013929,202689,"(40.7229696310001, -73.892928619)"
1015901,8e5e5824,01/27/2015 01:00:00 PM,Tuesday,Jan,27,2015,13,2,5,2015,GRAND LARCENY,FELONY,F,107,QUEENS,N.Y. HOUSING POLICE,1036732,207396,"(40.735783278, -73.8106258029999)"
1015904,cf79bfa7,01/27/2015 01:45:00 PM,Tuesday,Jan,27,2015,13,1,27,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,102,QUEENS,N.Y. POLICE DEPT,1028761,192736,"(40.6955888530001, -73.83948516)"
1015911,b5fbf9e0,01/27/2015 03:00:00 PM,Tuesday,Jan,27,2015,15,1,28,2015,GRAND LARCENY,FELONY,A,108,QUEENS,N.Y. POLICE DEPT,997480,212600,"(40.7502127700001, -73.952252113)"
1015957,e5028273,11/28/2015 11:24:00 PM,Saturday,Nov,28,2015,23,11,30,2015,BURGLARY,FELONY,P,109,QUEENS,N.Y. POLICE DEPT,1040129,216468,"(40.7606627640001, -73.7982927579999)"
1015960,8fdce7de,11/28/2015 11:35:00 PM,Saturday,Nov,28,2015,23,11,29,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,103,QUEENS,N.Y. POLICE DEPT,1038136,196067,"(40.7046795310001, -73.805650333)"
1015969,32809d09,12/05/2015 12:01:00 AM,Saturday,Dec,5,2015,0,12,5,2015,GRAND LARCENY,FELONY,J,106,QUEENS,N.Y. POLICE DEPT,1036643,184868,"(40.673949883, -73.811122224)"
1015991,edf196a9,10/08/2015 11:10:00 PM,Thursday,Oct,8,2015,23,10,9,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,C,109,QUEENS,N.Y. POLICE DEPT,1031596,212309,"(40.7492971990001, -73.8291238739999)"
1015994,ea2ad0fb,08/04/2015 03:30:00 AM,Tuesday,Aug,4,2015,3,8,4,2015,BURGLARY,FELONY,F,114,QUEENS,N.Y. POLICE DEPT,1006870,218567,"(40.7665716220001, -73.9183419349999)"
1015998,4da7d357,08/04/2015 03:55:00 AM,Tuesday,Aug,4,2015,3,8,4,2015,FELONY ASSAULT,FELONY,B,102,QUEENS,N.Y. POLICE DEPT,1030419,193453,"(40.6975483530001, -73.833501153)"
1016004,581c9614,08/04/2015 04:45:00 AM,Tuesday,Aug,4,2015,4,8,4,2015,GRAND LARCENY,FELONY,A,110,QUEENS,N.Y. POLICE DEPT,1016436,211012,"(40.7458054350001, -73.8838443189999)"
1016007,5db0d3fa,08/04/2015 05:00:00 AM,Tuesday,Aug,4,2015,5,8,5,2015,RAPE,FELONY,Q,109,QUEENS,N.Y. POLICE DEPT,1032198,217060,"(40.762334218, -73.826917308)"
1016008,fef2411b,08/04/2015 05:15:00 AM,Tuesday,Aug,4,2015,5,8,4,2015,ROBBERY,FELONY,A,100,QUEENS,N.Y. POLICE DEPT,1040606,154882,"(40.591620538, -73.797085878)"
1016009,622387be,08/04/2015 05:19:00 AM,Tuesday,Aug,4,2015,5,8,26,2015,GRAND LARCENY,FELONY,,105,QUEENS,N.Y. POLICE DEPT,1053478,203830,"(40.725880299, -73.7502366419999)"
1016010,b62263d4,08/04/2015 05:25:00 AM,Tuesday,Aug,4,2015,5,8,4,2015,GRAND LARCENY,FELONY,A,106,QUEENS,N.Y. POLICE DEPT,1028526,180392,"(40.661708596, -73.840413715)"
1016012,ac406fb8,03/07/2015 01:45:00 AM,Saturday,Mar,7,2015,1,3,7,2015,ROBBERY,FELONY,F,104,QUEENS,N.Y. POLICE DEPT,1008250,197108,"(40.7076683550001, -73.91343661)"
1016022,350b215e,03/07/2015 02:30:00 AM,Saturday,Mar,7,2015,2,3,7,2015,GRAND LARCENY,FELONY,A,103,QUEENS,N.Y. TRANSIT POLICE,1039726,195270,"(40.702482133, -73.799922252)"
