OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
957682,e4c9e2ad,03/12/2015 02:08:00 PM,Thursday,Mar,12,2015,14,3,12,2015,GRAND LARCENY,FELONY,G,121,STATEN ISLAND,N.Y. POLICE DEPT,947315,157242,"(40.59820045, -74.1330027339999)"
957710,fa563894,01/09/2015 03:00:00 PM,Friday,Jan,9,2015,15,1,11,2015,BURGLARY,FELONY,D,123,STATEN ISLAND,N.Y. POLICE DEPT,928127,132629,"(40.5305419600001, -74.2018933909999)"
957850,8633bad6,09/07/2015 07:00:00 AM,Monday,Sep,7,2015,7,9,12,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,120,STATEN ISLAND,N.Y. POLICE DEPT,962714,160918,"(40.60834112, -74.07756338)"
957861,23b05a66,09/07/2015 09:00:00 AM,Monday,Sep,7,2015,9,11,3,2015,GRAND LARCENY,FELONY,B,122,STATEN ISLAND,N.Y. POLICE DEPT,942956,137300,"(40.5434443840001, -74.148577469)"
957930,73a6451,03/12/2015 03:35:00 PM,Thursday,Mar,12,2015,15,3,12,2015,BURGLARY,FELONY,A,122,STATEN ISLAND,N.Y. POLICE DEPT,941270,144429,"(40.563004091, -74.15468899)"
957987,4876e484,01/09/2015 06:00:00 PM,Friday,Jan,9,2015,18,1,12,2015,BURGLARY,FELONY,B,123,STATEN ISLAND,N.Y. POLICE DEPT,923490,130750,"(40.5253539220001, -74.2185571959999)"
958118,c833cdf4,09/07/2015 10:50:00 AM,Monday,Sep,7,2015,10,9,7,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,120,STATEN ISLAND,N.Y. POLICE DEPT,962987,168556,"(40.6293064980001, -74.076604228)"
958202,7f641717,03/12/2015 06:20:00 PM,Thursday,Mar,12,2015,18,3,12,2015,GRAND LARCENY,FELONY,M,120,STATEN ISLAND,N.Y. POLICE DEPT,951977,168601,"(40.629396743, -74.116269394)"
958234,2db9cc13,01/09/2015 06:17:00 PM,Friday,Jan,9,2015,18,1,16,2015,GRAND LARCENY,FELONY,,122,STATEN ISLAND,N.Y. POLICE DEPT,943993,140085,"(40.5510934390001, -74.144862915)"
958507,b5c3fb4e,01/09/2015 08:00:00 PM,Friday,Jan,9,2015,20,1,9,2015,FELONY ASSAULT,FELONY,D,121,STATEN ISLAND,N.Y. POLICE DEPT,946476,161969,"(40.611171552, -74.136050369)"
958766,38fe4f5,01/09/2015 09:00:00 PM,Friday,Jan,9,2015,21,1,10,2015,BURGLARY,FELONY,N,120,STATEN ISLAND,N.Y. POLICE DEPT,949927,164377,"(40.61779505, -74.123633314)"
959030,88a3d2fe,01/09/2015 10:12:00 PM,Friday,Jan,9,2015,22,1,9,2015,ROBBERY,FELONY,A,121,STATEN ISLAND,N.Y. HOUSING POLICE,939224,168925,"(40.6302304110001, -74.162215913)"
959428,5a7608ec,09/07/2015 07:00:00 PM,Monday,Sep,7,2015,19,9,9,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,120,STATEN ISLAND,N.Y. POLICE DEPT,963603,168092,"(40.628034374, -74.0743835869999)"
959693,496d514c,09/07/2015 08:20:00 PM,Monday,Sep,7,2015,20,9,8,2015,FELONY ASSAULT,FELONY,F,122,STATEN ISLAND,N.Y. HOUSING POLICE,955640,153482,"(40.5879107960001, -74.103008888)"
959817,631488d3,03/28/2015 03:00:00 AM,Saturday,Mar,28,2015,3,3,29,2015,GRAND LARCENY,FELONY,H,122,STATEN ISLAND,N.Y. POLICE DEPT,966318,156487,"(40.596186953, -74.064571809)"
959826,40cdcd0e,03/28/2015 03:19:00 AM,Saturday,Mar,28,2015,3,3,28,2015,BURGLARY,FELONY,I,122,STATEN ISLAND,N.Y. POLICE DEPT,961469,157350,"(40.5985445750001, -74.082035213)"
959959,c62da4ec,09/07/2015 09:30:00 PM,Monday,Sep,7,2015,21,9,7,2015,ROBBERY,FELONY,C,122,STATEN ISLAND,N.Y. POLICE DEPT,954827,148519,"(40.574285688, -74.105914405)"
960214,228dc84a,09/07/2015 10:30:00 PM,Monday,Sep,7,2015,22,9,9,2015,GRAND LARCENY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,941212,167017,"(40.6250032410001, -74.155041625)"
960571,11cf247f,03/14/2015 11:39:00 AM,Saturday,Mar,14,2015,11,3,14,2015,ROBBERY,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,938794,167247,"(40.6256224640001, -74.163753763)"
960862,c23899af,03/28/2015 10:50:00 AM,Saturday,Mar,28,2015,10,3,28,2015,ROBBERY,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,939790,171449,"(40.637161104, -74.160193428)"
960863,8624bfaa,03/28/2015 11:00:00 AM,Saturday,Mar,28,2015,11,3,28,2015,BURGLARY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,947786,171999,"(40.638707262, -74.131386391)"
961269,8832b790,09/18/2015 06:00:00 AM,Friday,Sep,18,2015,6,9,19,2015,BURGLARY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,960782,166273,"(40.6230345760001, -74.08454009)"
961276,3d5370b0,09/18/2015 07:30:00 AM,Friday,Sep,18,2015,7,9,18,2015,FELONY ASSAULT,FELONY,C,120,STATEN ISLAND,N.Y. HOUSING POLICE,962020,165682,"(40.621415599, -74.080078505)"
961279,d6d57895,09/18/2015 08:00:00 AM,Friday,Sep,18,2015,8,9,22,2015,BURGLARY,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,961887,164503,"(40.6181791550001, -74.080553693)"
961393,fba0e2cc,03/28/2015 03:00:00 PM,Saturday,Mar,28,2015,15,3,28,2015,FELONY ASSAULT,FELONY,J,120,STATEN ISLAND,N.Y. POLICE DEPT,954651,170721,"(40.6352250300001, -74.106645246)"
961538,a28da87e,09/18/2015 10:00:00 AM,Friday,Sep,18,2015,10,9,18,2015,ROBBERY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,940405,168400,"(40.628795322, -74.157957741)"
961619,acdb6d86,03/14/2015 06:15:00 PM,Saturday,Mar,14,2015,18,3,15,2015,BURGLARY,FELONY,A,122,STATEN ISLAND,N.Y. POLICE DEPT,941720,141500,"(40.5549667290001, -74.153050998)"
961793,10ad746e,09/18/2015 11:00:00 AM,Friday,Sep,18,2015,11,9,18,2015,GRAND LARCENY,FELONY,E,121,STATEN ISLAND,N.Y. POLICE DEPT,939770,161650,"(40.610264838, -74.160200918)"
962052,db201456,09/18/2015 12:00:00 PM,Friday,Sep,18,2015,12,10,14,2015,GRAND LARCENY,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946980,169738,"(40.6324979500001, -74.134278031)"
962169,e25d80a7,03/28/2015 07:00:00 PM,Saturday,Mar,28,2015,19,3,29,2015,GRAND LARCENY,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,936941,168016,"(40.627723503, -74.17043445)"
962179,6a65ccad,03/28/2015 08:00:00 PM,Saturday,Mar,28,2015,20,3,30,2015,FELONY ASSAULT,FELONY,,121,STATEN ISLAND,N.Y. POLICE DEPT,931835,153736,"(40.5884991710001, -74.18871818)"
962180,53c10062,03/28/2015 08:00:00 PM,Saturday,Mar,28,2015,20,3,29,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,A,121,STATEN ISLAND,N.Y. POLICE DEPT,937217,170864,"(40.6355421160001, -74.169459998)"
962393,5fbbd9a1,03/14/2015 10:40:00 PM,Saturday,Mar,14,2015,22,3,14,2015,FELONY ASSAULT,FELONY,C,121,STATEN ISLAND,N.Y. POLICE DEPT,946783,170902,"(40.6356920490001, -74.134994245)"
962410,dbb17138,03/14/2015 11:55:00 PM,Saturday,Mar,14,2015,23,3,15,2015,FELONY ASSAULT,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,962302,166907,"(40.6247786690001, -74.0790666679999)"
962589,e83db0df,09/18/2015 02:45:00 PM,Friday,Sep,18,2015,14,9,18,2015,ROBBERY,FELONY,D,121,STATEN ISLAND,N.Y. POLICE DEPT,947633,163737,"(40.6160292000001, -74.131892848)"
962654,20e963a0,03/24/2015 12:00:00 AM,Tuesday,Mar,24,2015,0,3,24,2015,BURGLARY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,962721,167410,"(40.626160327, -74.077558871)"
962752,73a9764f,01/12/2015 12:00:00 AM,Monday,Jan,12,2015,0,4,19,2015,GRAND LARCENY,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,961126,166416,"(40.623427986, -74.083301392)"
962845,d20ef9b4,09/18/2015 03:20:00 PM,Friday,Sep,18,2015,15,9,18,2015,ROBBERY,FELONY,F,122,STATEN ISLAND,N.Y. POLICE DEPT,956247,155204,"(40.592639278, -74.100830585)"
963009,e37a050,01/12/2015 02:15:00 AM,Monday,Jan,12,2015,2,1,12,2015,ROBBERY,FELONY,B,121,STATEN ISLAND,N.Y. POLICE DEPT,940729,163872,"(40.6163685240001, -74.156761306)"
963097,4ef86656,09/18/2015 04:00:00 PM,Friday,Sep,18,2015,16,9,23,2015,GRAND LARCENY,FELONY,A,120,STATEN ISLAND,N.Y. POLICE DEPT,966302,163287,"(40.6148515310001, -74.064647494)"
963177,c5e5e375,03/24/2015 08:00:00 AM,Tuesday,Mar,24,2015,8,3,26,2015,GRAND LARCENY,FELONY,K,122,STATEN ISLAND,N.Y. POLICE DEPT,943232,144696,"(40.5637462460001, -74.14762927)"
963261,560c300f,01/12/2015 04:20:00 AM,Monday,Jan,12,2015,4,1,12,2015,FELONY ASSAULT,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,963307,167476,"(40.6263428880001, -74.075448035)"
963262,11ac4adf,01/12/2015 04:20:00 AM,Monday,Jan,12,2015,4,1,12,2015,FELONY ASSAULT,FELONY,C,120,STATEN ISLAND,N.Y. POLICE DEPT,963307,167476,"(40.6263428880001, -74.075448035)"
963268,ae9cf4be,01/12/2015 06:20:00 AM,Monday,Jan,12,2015,6,1,12,2015,FELONY ASSAULT,FELONY,B,120,STATEN ISLAND,N.Y. POLICE DEPT,961072,163553,"(40.6155695080001, -74.083486087)"
