OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1085480,e573a146,04/05/2015 03:45:00 AM,Sunday,Apr,5,2015,3,4,5,2015,ROBBERY,FELONY,B,46,BRONX,N.Y. POLICE DEPT,1010746,248840,"(40.8496518260001, -73.904229879)"
1085485,8cb6c1eb,04/05/2015 04:10:00 AM,Sunday,Apr,5,2015,4,4,5,2015,FELONY ASSAULT,FELONY,H,43,BRONX,N.Y. POLICE DEPT,1018418,242268,"(40.831587261, -73.876532434)"
1085490,d9623c8f,04/05/2015 04:45:00 AM,Sunday,Apr,5,2015,4,4,5,2015,FELONY ASSAULT,FELONY,J,40,BRONX,N.Y. POLICE DEPT,1003548,235177,"(40.8121694810001, -73.930286823)"
1085531,a983a0c8,08/12/2015 02:30:00 AM,Wednesday,Aug,12,2015,2,8,12,2015,GRAND LARCENY,FELONY,B,44,BRONX,N.Y. POLICE DEPT,1004396,238306,"(40.820755815, -73.927214006)"
1085533,14142a3a,08/12/2015 02:40:00 AM,Wednesday,Aug,12,2015,2,8,12,2015,BURGLARY,FELONY,M,46,BRONX,N.Y. POLICE DEPT,1005992,249444,"(40.851322612, -73.9214115629999)"
1085534,474a775e,08/12/2015 02:40:00 AM,Wednesday,Aug,12,2015,2,8,13,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,50,BRONX,N.Y. POLICE DEPT,1008670,258620,"(40.8765009470001, -73.911698082)"
1085539,2e043a22,08/12/2015 03:00:00 AM,Wednesday,Aug,12,2015,3,8,12,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,45,BRONX,N.Y. POLICE DEPT,1033764,243478,"(40.834835657, -73.821069536)"
1085545,64697a89,08/12/2015 04:00:00 AM,Wednesday,Aug,12,2015,4,8,12,2015,FELONY ASSAULT,FELONY,G,42,BRONX,N.Y. HOUSING POLICE,1010158,242490,"(40.832224679, -73.906379774)"
1085550,7f9ea9bc,08/12/2015 05:05:00 AM,Wednesday,Aug,12,2015,5,8,12,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,J,41,BRONX,N.Y. POLICE DEPT,1013966,239610,"(40.8243079150001, -73.8926318759999)"
1085551,40b57822,08/12/2015 05:10:00 AM,Wednesday,Aug,12,2015,5,8,12,2015,ROBBERY,FELONY,B,47,BRONX,N.Y. POLICE DEPT,1021937,260565,"(40.881792687, -73.863713376)"
1085556,91fe4885,07/22/2015 10:35:00 AM,Wednesday,Jul,22,2015,10,7,23,2015,GRAND LARCENY,FELONY,A,43,BRONX,N.Y. POLICE DEPT,1023548,238402,"(40.8209548680001, -73.858017409)"
1085581,b7240bd6,04/05/2015 05:30:00 AM,Sunday,Apr,5,2015,5,4,5,2015,FELONY ASSAULT,FELONY,G,40,BRONX,N.Y. POLICE DEPT,1007107,238501,"(40.821284437, -73.917418512)"
1085582,fe03b435,04/05/2015 05:30:00 AM,Sunday,Apr,5,2015,5,5,29,2015,GRAND LARCENY,FELONY,H,52,BRONX,N.Y. POLICE DEPT,1014200,256923,"(40.8718261750001, -73.8917090579999)"
1085583,c278d25c,04/05/2015 05:43:00 AM,Sunday,Apr,5,2015,5,4,5,2015,FELONY ASSAULT,FELONY,K,50,BRONX,N.Y. POLICE DEPT,1011257,261130,"(40.8833825790001, -73.902333309)"
1085588,b8b8813c,04/05/2015 07:40:00 AM,Sunday,Apr,5,2015,7,4,5,2015,FELONY ASSAULT,FELONY,H,50,BRONX,N.Y. POLICE DEPT,1007996,263483,"(40.8898501990001, -73.914118043)"
1085591,2f5ec69a,04/05/2015 08:30:00 AM,Sunday,Apr,5,2015,8,4,5,2015,GRAND LARCENY,FELONY,D,40,BRONX,N.Y. TRANSIT POLICE,1004926,234532,"(40.8103960190001, -73.9253107449999)"
1085635,b456eb61,08/12/2015 05:20:00 AM,Wednesday,Aug,12,2015,5,8,12,2015,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
1085641,567f5976,08/12/2015 06:00:00 AM,Wednesday,Aug,12,2015,6,8,16,2015,ROBBERY,FELONY,C,48,BRONX,N.Y. POLICE DEPT,1013227,248419,"(40.8484885120001, -73.895263966)"
1085643,d59af5fa,08/12/2015 06:30:00 AM,Wednesday,Aug,12,2015,6,8,12,2015,FELONY ASSAULT,FELONY,I,47,BRONX,N.Y. POLICE DEPT,1024117,266853,"(40.899041663, -73.855792389)"
1085648,ef8265e0,08/12/2015 07:00:00 AM,Wednesday,Aug,12,2015,7,8,12,2015,FELONY ASSAULT,FELONY,D,47,BRONX,N.Y. POLICE DEPT,1028635,256826,"(40.8714991580001, -73.839516117)"
1085650,e554f801,08/12/2015 07:45:00 AM,Wednesday,Aug,12,2015,7,8,28,2015,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
1085654,db54e7f3,08/12/2015 08:00:00 AM,Wednesday,Aug,12,2015,8,8,12,2015,GRAND LARCENY,FELONY,D,40,BRONX,N.Y. POLICE DEPT,1008881,236572,"(40.8159851070001, -73.911016087)"
1085659,387e942f,07/22/2015 12:00:00 PM,Wednesday,Jul,22,2015,12,7,22,2015,ROBBERY,FELONY,I,40,BRONX,N.Y. POLICE DEPT,1006552,235787,"(40.813836689, -73.919432759)"
1085660,a97da1b1,07/22/2015 12:00:00 PM,Wednesday,Jul,22,2015,12,8,12,2015,GRAND LARCENY,FELONY,G,43,BRONX,N.Y. POLICE DEPT,1026695,242896,"(40.83327504, -73.846618861)"
1085663,3d5e165c,07/22/2015 12:25:00 PM,Wednesday,Jul,22,2015,12,7,23,2015,GRAND LARCENY,FELONY,F,40,BRONX,N.Y. POLICE DEPT,1007577,236728,"(40.8164168230001, -73.915726553)"
1085668,53c99298,07/22/2015 12:30:00 PM,Wednesday,Jul,22,2015,12,7,22,2015,BURGLARY,FELONY,H,40,BRONX,N.Y. POLICE DEPT,1004257,234906,"(40.8114240850001, -73.927726348)"
1085669,ced21e56,07/22/2015 12:30:00 PM,Wednesday,Jul,22,2015,12,7,30,2015,BURGLARY,FELONY,K,47,BRONX,N.Y. POLICE DEPT,1028858,263493,"(40.889796849, -73.8386654079999)"
1085689,e838fb2f,04/05/2015 11:45:00 AM,Sunday,Apr,5,2015,11,4,6,2015,FELONY ASSAULT,FELONY,A,41,BRONX,DEPT OF CORRECTIONS,1016268,227533,"(40.7911518670001, -73.884371919)"
1085694,84f2ae6c,04/05/2015 12:00:00 PM,Sunday,Apr,5,2015,12,4,6,2015,BURGLARY,FELONY,J,52,BRONX,N.Y. POLICE DEPT,1015955,256766,"(40.8713891290001, -73.8853641279999)"
